Date,SST,SOI,month,SST_Climatology,SST_Anomaly,SOI_lag_1,SOI_lag_2,SOI_lag_3,month_sin,month_cos,SST_Anomaly_lag_1,SST_Anomaly_lag_2,SST_Anomaly_lag_3,ENSO_Label,ONI,ENSO_Phase,SST_Anomaly_rolling_3m,SOI_rolling_3m,SST_Anomaly_rolling_6m,SST_SOI_interaction,SST_trend,SOI_trend,is_djf,is_jja,OHC_Anomaly
1/1/1982,26.583525,1.2,1,26.448738,0.1347866,0.5,0.2,-0.4,0.5,0.866025404,-0.33855438,-0.5920086,-0.18071365,1,-0.1,Neutral,,,,0.161743927,0.473341,0.7,1,0,-0.9383844
2/1/1982,26.45504,0.3,2,26.640648,-0.18560791,1.2,0.5,0.2,0.866025404,0.5,0.1347866,-0.33855438,-0.5920086,1,-0.1,Neutral,-0.129791896,0.666666667,,-0.055682373,-0.32039452,-0.9,1,0,
3/1/1982,27.034319,0.6,3,27.137852,-0.10353279,0.3,1.2,0.5,1,6.12E-17,-0.18560791,0.1347866,-0.33855438,1,-0.3,Neutral,-0.051451365,0.7,,-0.062119675,0.08207512,0.3,0,0,
4/1/1982,27.782715,0.1,4,27.688173,0.09454155,0.6,0.3,1.2,0.866025404,-0.5,-0.10353279,-0.18560791,0.1347866,1,0.1,Neutral,-0.064866384,0.333333333,,0.009454155,0.19807434,-0.5,0,0,13.004336
5/1/1982,28.32491,-0.3,5,27.753109,0.57180023,0.1,0.6,0.3,0.5,-0.866025404,0.09454155,-0.10353279,-0.18560791,1,0.2,Neutral,0.187602997,0.133333333,0.028905551,-0.17154007,0.47725868,-0.4,0,0,
6/1/1982,28.318104,-1,6,27.59718,0.7209244,-0.3,0.1,0.6,1.22E-16,-1,0.57180023,0.09454155,-0.10353279,2,0.5,El Niño,0.462422053,-0.4,0.205485344,-0.720924377,0.14912415,-0.7,0,1,
7/1/1982,27.516773,-1.5,7,27.18561,0.3311634,-1,-0.3,0.1,-0.5,-0.866025404,0.7209244,0.57180023,0.09454155,2,0.7,El Niño,0.541296005,-0.933333333,0.238214811,-0.49674511,-0.38976097,-0.5,0,1,20.290571
8/1/1982,27.732328,-1.7,8,26.803362,0.9289665,-1.5,-1,-0.3,-0.866025404,-0.5,0.3311634,0.7209244,0.57180023,2,0.7,El Niño,0.660351435,-1.4,0.423977216,-1.579243088,0.5978031,-0.2,0,1,
9/1/1982,27.98785,-1.7,9,26.689117,1.2987328,-1.7,-1.5,-1,-1,-1.84E-16,0.9289665,0.3311634,0.7209244,2,0.8,El Niño,0.852954229,-1.633333333,0.657688141,-2.207845688,0.36976624,0,0,0,
10/1/1982,28.516157,-1.7,10,26.646967,1.8691902,-1.7,-1.7,-1.5,-0.866025404,0.5,1.2987328,0.9289665,0.3311634,2,1.1,El Niño,1.365629832,-1.7,0.953462919,-3.177623367,0.57045746,0,0,0,4.762616
11/1/1982,28.520462,-2.6,11,26.667572,1.85289,-1.7,-1.7,-1.7,-0.5,0.866025404,1.8691902,1.2987328,0.9289665,2,1.6,El Niño,1.673604329,-2,1.166977882,-4.817514038,-0.016300201,-0.9,0,0,
12/1/1982,28.873524,-2.2,12,26.522655,2.3508682,-2.6,-1.7,-1.7,-2.45E-16,1,1.85289,1.8691902,1.2987328,2,2,El Niño,2.024316152,-2.166666667,1.43863519,-5.171910095,0.4979782,0.4,1,0,
1/1/1983,28.718637,-3.5,1,26.448738,2.2698994,-2.2,-2.6,-1.7,0.5,0.866025404,2.3508682,1.85289,1.8691902,2,2.2,El Niño,2.157885869,-2.766666667,1.761757851,-7.944647789,-0.08096886,-1.3,1,0,3.4210284
2/1/1983,28.558792,-3.6,2,26.640648,1.9181442,-3.5,-2.2,-2.6,0.866025404,0.5,2.2698994,2.3508682,1.85289,2,2.2,El Niño,2.179637273,-3.1,1.926620801,-6.905319214,-0.35175514,-0.1,1,0,
3/1/1983,28.477703,-2.4,3,27.137852,1.3398514,-3.6,-3.5,-2.2,1,6.12E-17,1.9181442,2.2698994,2.3508682,1,0,Neutral,1.842631658,-3.166666667,1.933473905,-3.215643311,-0.57829285,1.2,0,0,
4/1/1983,28.506384,-0.9,4,27.688173,0.8182106,-2.4,-3.6,-3.5,0.866025404,-0.5,1.3398514,1.9181442,2.2698994,2,1.9,El Niño,1.358735402,-2.3,1.758310636,-0.736389542,-0.5216408,1.5,0,0,11.559203
5/1/1983,28.552773,0.6,5,27.753109,0.79966354,-0.9,-2.4,-3.6,0.5,-0.866025404,0.8182106,1.3398514,1.9181442,2,1.5,El Niño,0.985908508,-0.9,1.582772891,0.479798126,-0.018547058,1.5,0,0,
6/1/1983,28.123856,0,6,27.59718,0.5266762,0.6,-0.9,-2.4,1.22E-16,-1,0.79966354,0.8182106,1.3398514,2,1.3,El Niño,0.714850108,-0.1,1.278740883,0,-0.27298737,-0.6,0,1,
7/1/1983,26.85689,-0.6,7,27.18561,-0.3287201,0,0.6,-0.9,-0.5,-0.866025404,0.5266762,0.79966354,0.8182106,2,1.1,El Niño,0.332539876,-1.48E-16,0.845637639,0.197232056,-0.8553963,-0.6,0,1,-12.415869
8/1/1983,26.345356,0.1,8,26.803362,-0.4580059,-0.6,0,0.6,-0.866025404,-0.5,-0.3287201,0.5266762,0.79966354,2,0.7,El Niño,-0.086683273,-0.166666667,0.449612617,-0.045800591,-0.12928581,0.7,0,1,
9/1/1983,26.26738,0.9,9,26.689117,-0.42173767,0.1,-0.6,0,-1,-1.84E-16,-0.4580059,-0.3287201,0.5266762,1,0.3,Neutral,-0.402821223,0.133333333,0.156014442,-0.379563904,0.036268234,0.8,0,0,
10/1/1983,25.616476,0.4,10,26.646967,-1.0304909,0.9,0.1,-0.6,-0.866025404,0.5,-0.42173767,-0.4580059,-0.3287201,1,-0.1,Neutral,-0.636744817,0.466666667,-0.15210247,-0.41219635,-0.6087532,-0.5,0,0,-18.19348
